葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
RPL2008珍藏版西拉干红葡萄酒,2539,"RPL 2008 Reserve Syrah, Changli, China",红葡萄酒,红色波尔,"('西拉',)",雪松胡椒香草水果酱,这款葡萄酒精选2003年出产的稀有酿酒葡萄品种西拉单体为原料，由世界著名酿酒师精心调制，又经法国橡木桶细致培养18个月后装瓶而成。此款酒体呈宝石红色，明亮悦人，挂杯优美持久，具有典型的雪松香气、淡淡的胡椒辛烈香气、香草香气和成熟浓重的水果酱香。香气浓郁复杂，酒体丰满平衡，口感醇厚，余味悠长。
RPL名帅之约干红葡萄酒,947,"RPL Appointment With Marshal, Changli, China",红葡萄酒,红色波尔,"('梅洛', '西拉', '赤霞珠')",黑醋栗甜樱桃香草,这款葡萄酒选用2006年出产的稀有酿酒葡萄品种西拉为主要原料，再调入二款经典酿酒葡萄品种原料，由国际著名酿酒师混酿调制，又经法国橡木桶细致培养12个月后装瓶而成。此款酒体呈深宝石红色调，色泽晶亮润泽。散发出典型的黑醋栗成熟果香，有些许甜樱桃和香草的香气；口感浑厚圆润，酒体饱满殷实，回口甘美有着蜂蜜的甜香顺喉。
RPL红色名帅干红葡萄酒,1560,"RPL Red Marshal, Changli, China",红葡萄酒,红色波尔,"('梅洛', '西拉')",黑醋栗雪松,此为RPL干红的初级产品，选用2007年出产的稀有酿酒葡萄品种西拉为主要原料，调入另一款珍贵酿酒葡萄品种梅洛，由国际著名酿酒师混酿调制，又经法国橡木桶细致培养12个月后装瓶而成。此款酒体呈深宝石红色，明亮莹澈，挂杯透彻泽润，酒香浓郁，口感醇厚甘美，醇香的黑醋栗气息中有着突出的雪松香气。
RPL革命系列天堂之匙干红葡萄酒,696,"RPL Revolution Key Of Heaven, Changli, China",红葡萄酒,红色波尔,"('梅洛', '西拉', '赤霞珠')",黑醋栗甜樱桃香草,这款葡萄酒选用2006年出产的稀有酿酒葡萄品种西拉为主要原料，再调入二款经典酿酒葡萄品种赤霞珠和梅洛，由国际著名酿酒师混酿调制，又经法国橡木桶细致培养12个月后装瓶而成。此款酒体呈深宝石红色调，色泽晶亮润泽，散发出典型的黑醋栗成熟果香，有些许甜樱桃和香草的香气；口感浑厚圆润，酒体饱满殷实，回口甘美，有着蜂蜜的甜香顺喉。品鉴到此款酒的朋友，将深刻地体会到葡萄变美酒的华丽转身，一如进入红酒圣殿的钥匙。
RPL革命系列初见干红葡萄酒,1806,"RPL Revolution First Met, Changli, China",红葡萄酒,红色波尔,"('梅洛', '西拉')",黑醋栗雪松,这款葡萄酒选用2007年出产的稀有酿酒葡萄品种西拉为主要原料，调入另一款珍贵酿酒葡萄品种梅洛，由国际著名酿酒师混酿调制，又经法国橡木桶细致培养12个月后装瓶而成。此款酒体呈深宝石红色，明亮莹澈，挂杯透彻泽润，酒香浓郁，口感醇厚甘美，醇香的黑醋栗气息中有着突出的雪松香气，一如恋人初见的情愫，一半是羞怯一若鹿撞的情怀，一半是甜美欢悦的幸福向往。
RPL革命系列豪华经典干红葡萄酒,1339,"RPL Revolution Deluxe Classics, Changli, China",红葡萄酒,红色波尔,"('西拉', '赤霞珠')",胡椒雪松烤面包,豪华经典干红为RPL深度定制中的高端产品，口感与CLASSICS相比，更显几分奢华。此酒精选2004年采摘酿造的世界稀有酿酒葡萄品种——西拉为主原料，混合配比赤霞珠葡萄品种，采用控温发酵重力酿造法，由国际酿酒大师调制，又经法国橡木桶细致培养12个月后装瓶而成。该酒酒体呈宝石红色，稍具艳丽的紫色调，光泽明亮，有着明显的胡椒和雪松的香气，后味中融有烤面包的香气，香气由开始的浓烈厚重而渐转悠长，入口香滑纯粹。享用此酒的您将充分体验到葡萄酒的华美个性与口味，一如王族雍容华贵的风范之美。
RPL革命系列经典干红葡萄酒,919,"RPL Revolution Classics, Changli, China",红葡萄酒,红色波尔,"('西拉', '赤霞珠')",胡椒雪松烤面包,这款葡萄酒精选2005年出产的稀有酿酒葡萄品种西拉为主要原料，调配加入另一种珍贵酿酒葡萄品种赤霞珠，采用低温重力酿造，由世界著名酿酒师混酿调制，又经法国橡木桶细致培养12个月后装瓶而成。此款酒体呈宝石红色，稍具艳丽的紫色调，光泽明亮；具有明显的胡椒和雪松的香气，后味中融有淡淡的烤面包的香气。入口舒顺柔畅，口感细腻，平衡协调。是RRP中的典型作品，一如经典的人生乐章，充满了华丽的起伏与转折之美。
RPL王者系列圣父干红葡萄酒,1712,"RPL Lord Trinity, Changli, China",红葡萄酒,红色波尔,"('赤霞珠',)",青梗黑加仑子黑醋栗巧克力,"此款酒为顶级礼宾用酒,是RPL的品牌象征。这款葡萄酒精选2001年出产的世界著名酿酒葡萄品种赤霞珠为原料，采用世界先进的重力酿造法，由世界著名酿酒师精心调制，又经法国橡木桶细致培养18个月后装瓶而成。该酒体呈深宝石红色，晶莹剔透，挂杯优雅，有着紫水晶般的纯净质感。一点青梗的香气中突出着黑加仑子和黑醋栗的浓郁果香，还有淡淡的橡木桶带来的巧克力香气，诸香和谐，相得益彰，入口甜润，顺滑如丝，酒体优雅醇厚，层次丝丝入扣，回味悠长，风格典型独特，是不可多得的珍藏极品。一如圣父的独一、完美、伟大和永恒，无可替代。"
誉龙卡尔蒂尼天地良缘干红葡萄酒,2005,"Yulong Winery Carlltiny Perfect Marriage Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠', '蛇龙珠')",红色浆果,本产品选用沙城产区精品赤霞珠和蛇龙珠葡萄为原料，明媚充足的阳光赋予该酒浓郁丰富的果实香气，酒体呈诱人的宝石红色，入口柔顺，回味修长，给人高雅而愉快的感受，为您的喜宴锦上添花。
誉龙卡尔蒂尼二星级干红葡萄酒,1648,"Yulong Winery Carlltiny Two-Star Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠', '蛇龙珠')",樱桃李子香草烟熏,此酒选用沙城产区的著名酿酒葡萄赤霞珠、蛇龙珠为原料，酒体呈宝石红色，果香浓郁，品质典雅，可以搭配红肉（烧烤或烘烤），口感极佳。
誉龙卡尔蒂尼三年窖藏干红葡萄酒,2280,"Yulong Winery Carlltiny Three-year Cellar Reserve Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠', '蛇龙珠')",香草可可红色浆果,这款葡萄酒以沙城地区的赤霞珠和蛇龙珠为原料精酿而成。该酒呈深红的宝石色，酒体中度饱满，口感柔和，果香酒香浓馥优雅，橡木香细腻，酒体丰满，具有干红葡萄酒独特风格。
誉龙卡尔蒂尼倾城之恋干红葡萄酒,1632,"Yulong Winery Carlltiny Love in A Fallen City Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠', '蛇龙珠')",红色桨果,本产品选用沙城产区精品赤霞珠和蛇龙珠葡萄为原料，采用先进工艺技术控温发酵、后经橡木桶陈酿而成，酒体呈诱人的宝石红色，入口柔顺，回味悠长，果香浓郁，愉悦高雅的享受，给您一个温馨浪漫的感受。
誉龙卡尔蒂尼五年窖藏干红葡萄酒,1794,"Yulong Winery Carlltiny Five-year Cellar Reserve Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",香草椰子黑醋栗,该款葡萄酒精选沙城产区的赤霞珠为原料，采用先进技术、传统酿造工艺控温发酵，后经五年地下窖藏而成。葡萄酒酒体呈深宝石红色，单宁柔顺，浓郁的酒香、果香及橡木香和谐地融为一体，酒体丰满，具有高贵典雅的品质。
誉龙卡尔蒂尼一星级干红葡萄酒,912,"Yulong Winery Carlltiny One-Star Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠', '蛇龙珠')",黑莓黑樱桃,此酒选用沙城产区的著名酿酒葡萄赤霞珠、蛇龙珠为原料，酒体呈宝石红色，入口圆润，单宁柔顺，是日常佐餐之佳品。
誉龙卡尔蒂尼三星级干红葡萄酒,1332,"Yulong Winery Carlltiny Three-Star Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",蓝莓黑醋栗,精选沙城产区的赤霞珠葡萄为原料，酒体呈宝石红色，澄清透明，具有芬芳怡人的果香和醇厚饱满的酒香，单宁柔顺，入口圆润，回味悠长，实为宴请馈赠之佳品。
誉龙卡尔蒂尼四星级干红葡萄酒,1190,"Yulong Winery Carlltiny Four-Star Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",红色浆果香草咖啡,此酒选用沙城产区的优质酿酒葡萄赤霞珠为原料，采用先进工艺技术，控温发酵后经橡木桶陈酿而成，酒体呈深宝石红色，浓郁的果香伴随成熟的橡木香，入口圆润，单宁柔顺，是宴请馈赠之佳品。
誉龙卡尔蒂尼十年赤霞珠干红葡萄酒,1295,"Yulong Winery Carlltiny 10 Years Cabernet Sauvignon, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",蓝莓香草咖啡,本品选用沙城产区优质赤霞珠为原料，采摘十年以上树龄的葡萄硕果，采用先进工艺技术精心酿制而成，酒体呈宝石红色，色泽璀璨，香气雅致，口感圆润，余味浓厚。
誉龙卡尔蒂尼五星级干红葡萄酒,2378,"Yulong Winery Carlltiny Five-Star Dry Red, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",黑醋栗黑莓,原料选自沙城地区的精品赤霞珠葡萄，经橡木桶陈酿，酒体呈宝石红色，澄清透明，成熟的黑醋香、黑莓果香伴随着橡木香气，入口圆润饱满，口感平衡愉悦，香气纯正优雅，实为酒中之上品。
誉龙卡尔蒂尼二十五年赤霞珠干红葡萄酒,1562,"Yulong Winery Carlltiny 25 Years Cabernet Sauvignon, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",黑樱桃黑莓香草雪松,本品选用沙城产区优质酿酒葡萄赤霞珠为原料，采摘二十五年以上树龄的葡萄硕果，采用先进工艺技术控温发酵，后经橡木桶陈酿而成，酒体呈宝石红色，酒体丰满，果香、酒香浓郁优雅，橡木香细腻。
誉龙卡尔蒂尼典藏赤霞珠干红葡萄酒,270,"ulong Winery Carlltiny Cabernet Sauvignon, Shacheng, China",红葡萄酒,誉龙庄园,"('赤霞珠',)",,这是一款来自沙城产区的干红葡萄酒。
